"Tid (s)","Rörelsemängdsmoment (kg * m^2/s)","L/L0 – 1","Energi (J)","E/E0 – 1","Avstånd från analytisk lösning (m)","Hastighet (m/s)","V/V0 – 1","Delta hastighet (m/s)"
0.1,4000003.33716935,8.34292338103282E-07,-293714.933336261,-2.2723357906429E-07,1.88356374161187E-11,0.0400010917202032,2.72930050795317E-05,0.000333716151547475
0.2,4000006.67446215,1.66861553663189E-06,-293714.866600874,-4.54444947894928E-07,1.54738127913767E-10,0.0400043000641878,0.000107501604694971,0.000333724195295931
0.3,4000010.01200541,2.50300135240522E-06,-293714.799878521,-6.81611940778204E-07,5.26896907441789E-10,0.0400096248243511,0.000240620608776387,0.000333740707213375
0.4,4000013.34992622,3.33748155378899E-06,-293714.733175716,-9.08712377456489E-07,1.25450135098258E-09,0.0400170656637513,0.000426641593783472,0.000333765689519646
0.5,4000016.6883517,4.17208792558021E-06,-293714.666498981,-1.13572405457951E-06,2.45675043100953E-09,0.0400266221165018,0.000665552912544998,0.000333799145583367
0.6,4000020.02740909,5.0068522734481E-06,-293714.599854847,-1.36262473648952E-06,4.25285327771099E-09,0.040038293588319,0.00095733970797518,0.000333841079923025
0.7,4000023.36722572,5.8418064305954E-06,-293714.533249857,-1.58939214855991E-06,6.7620259713659E-09,0.0400520793572256,0.00130198393064118,0.000333891498208421
0.8,4000026.70792906,6.67698226397562E-06,-293714.466690566,-1.81600397008985E-06,1.01035063301499E-08,0.0400679785744064,0.00169946436015911,0.000333950407262496
0.900000000000001,4000030.04964672,7.512411678956E-06,-293714.400183546,-2.0424378236461E-06,1.4396542284782E-08,0.0400859902652156,0.00214975663039052,0.000334017815063517
1,4000033.39250649,8.3481266233143E-06,-293714.33373539,-2.26867126962294E-06,1.97604013612532E-08,0.040106113330336,0.00265283325840016,0.000334093730747657
1.1,4000036.73663638,9.18415909567649E-06,-293714.267352708,-2.49468179669421E-06,2.63143768469702E-08,0.0401283465470856,0.00320866367713912,0.000334178164611928
1.2,4000040.0821646,1.00205411510679E-05,-293714.201042135,-2.72044681537409E-06,3.41777819829892E-08,0.0401526885708722,0.00381721427180515,0.000334271128117506
1.3,4000043.42921961,1.08573049031335E-05,-293714.134810333,-2.94594364769196E-06,4.34699581644396E-08,0.0401791379367932,0.00447844841982992,0.000334372633893432
1.4,4000046.77793013,1.16944825330201E-05,-293714.06866399,-3.17114952064212E-06,5.43102725012424E-08,0.0402076930613777,0.00519232653444135,0.000334482695740689
1.5,4000050.12842518,1.25321062940387E-05,-293714.002609826,-3.39604155763507E-06,6.6818125394828E-08,0.0402383522444696,0.00595880611173882,0.000334601328636663
1.6,4000053.48083407,1.33702085183263E-05,-293713.936654591,-3.62059677005977E-06,8.1112951923772E-08,0.0402711136712487,0.0067778417812181,0.000334728548740005
1.7,4000056.83528648,1.42088216190661E-05,-293713.870805075,-3.84479204840193E-06,9.73142201405575E-08,0.0403059754143871,0.00764938535967752,0.000334864373395856
1.8,4000060.19191241,1.50479781027002E-05,-293713.805068102,-4.06860415558263E-06,1.15541437839485E-07,0.0403429354363375,0.0085733859084387,0.000335008821141473
1.9,4000063.55084227,1.5887710567597E-05,-293713.739450538,-4.29200971618915E-06,1.35914153137177E-07,0.0403819915917518,0.00954978979379462,0.000335161911712287
2,4000066.91220686,1.67280517147095E-05,-293713.67395929,-4.51498521036875E-06,1.58551959303444E-07,0.0404231416300248,0.0105785407506196,0.000335323666048285
2.1,4000070.2761374,1.7569034350462E-05,-293713.608601314,-4.7375069619493E-06,1.83574490961121E-07,0.0404663831979619,0.0116595799490475,0.000335494106300871
2.2,4000073.64276559,1.84106913965199E-05,-293713.54338361,-4.9595511341094E-06,2.11101436988701E-07,0.0405117138425656,0.0127928460641402,0.000335673255840074
2.29999999999999,4000077.01222357,1.9253055891566E-05,-293713.478313231,-5.18109371649977E-06,2.41252529902364E-07,0.040559131013938,0.013978275348449,0.000335861139262218
2.39999999999999,4000080.384644,2.00961609992945E-05,-293713.41339728,-5.40211051880402E-06,2.74147562174432E-07,0.0406086320682955,0.0152158017073869,0.000336057782397963
2.49999999999999,4000083.76016006,2.09400400152937E-05,-293713.348642921,-5.62257716063552E-06,3.09906377031997E-07,0.0406602142710925,0.0165053567773124,0.0003362632123208
2.59999999999999,4000087.13890548,2.17847263710436E-05,-293713.284057371,-5.84246906309982E-06,3.48648877748296E-07,0.0407138748002491,0.017846870006228,0.000336477457355944
2.69999999999999,4000090.52101457,2.26302536419087E-05,-293713.21964791,-6.06176143913562E-06,3.90495026752402E-07,0.04076961074948,0.0192402687369999,0.000336700547089674
2.79999999999998,4000093.90662221,2.34766555520238E-05,-293713.155421884,-6.28042928396688E-06,4.35564852134604E-07,0.0408274191317198,0.0206854782929944,0.000336932512379129
2.89999999999998,4000097.29586393,2.43239659822869E-05,-293713.091386703,-6.49844736733129E-06,4.83978447514144E-07,0.0408872968826414,0.0221824220660343,0.000337173385362482
2.99999999999998,4000100.6888759,2.51722189739123E-05,-293713.027549847,-6.7157902203796E-06,5.35855971324828E-07,0.0409492408642627,0.0237310216065683,0.000337423199469643
3.09999999999998,4000104.08579496,2.60214487390886E-05,-293712.963918868,-6.93243213090167E-06,5.91317656789062E-07,0.0410132478686382,0.0253311967159551,0.000337681989433352
3.19999999999998,4000107.48675865,2.68716896620891E-05,-293712.900501395,-7.14834712833845E-06,6.50483808638965E-07,0.0410793146216302,0.026982865540754,0.000337949791300769
3.29999999999997,4000110.89190525,2.77229763114839E-05,-293712.837305132,-7.36350897800886E-06,7.13474806564761E-07,0.0411474377867569,0.0286859446689216,0.00033822664244554
3.39999999999997,4000114.30137377,2.85753434421387E-05,-293712.774337867,-7.5778911684532E-06,7.80411112480455E-07,0.0412176139691122,0.0304403492278049,0.000338512581580279
3.49999999999997,4000117.71530401,2.94288260036524E-05,-293712.71160747,-7.79146690199628E-06,8.51413266333225E-07,0.0412898397193533,0.0322459929838326,0.00033880764876962
3.59999999999997,4000121.13383659,3.02834591479062E-05,-293712.6491219,-8.00420908386723E-06,9.2660189195626E-07,0.0413641115377518,0.0341027884437957,0.000339111885443706
3.69999999999997,4000124.55711294,3.11392782357256E-05,-293712.586889205,-8.21609031254056E-06,1.00609770122686E-06,0.0414404258783047,0.0360106469576165,0.000339425334412169
3.79999999999996,4000127.98527537,3.19963188417649E-05,-293712.524917527,-8.42708286807881E-06,1.09002149516897E-06,0.0415187791528999,0.0379694788224982,0.000339748039878668
3.89999999999996,4000131.41846706,3.28546167647215E-05,-293712.463215103,-8.63715870136339E-06,1.17849416537532E-06,0.0415991677355345,0.0399791933883618,0.000340080047455898
3.99999999999996,4000134.85683213,3.37142080322206E-05,-293712.401790274,-8.84628942221521E-06,1.27163669883435E-06,0.0416815879665785,0.0420396991644616,0.000340421404181147
4.09999999999996,4000138.30051563,3.45751289085872E-05,-293712.340651479,-9.05444629017982E-06,1.36957017949086E-06,0.0417660361570832,0.0441509039270804,0.000340772158532403
4.19999999999995,4000141.74966361,3.54374159021731E-05,-293712.279807268,-9.26160020031652E-06,1.47241579191065E-06,0.0418525085931286,0.0463127148282141,0.000341132360444962
4.29999999999995,4000145.20442309,3.63011057729068E-05,-293712.2192663,-9.46772167298437E-06,1.58029482257986E-06,0.0419410015402056,0.0485250385051392,0.000341502061328653
4.39999999999995,4000148.66494216,3.71662355405089E-05,-293712.159037346,-9.6727808416297E-06,1.69332866462387E-06,0.0420315112476311,0.0507877811907775,0.00034188131408558
4.49999999999995,4000152.13136996,3.80328424900434E-05,-293712.099129297,-9.87674744024059E-06,1.81163881816886E-06,0.0421240339529903,0.0531008488247582,0.000342270173128492
4.59999999999995,4000155.60385673,3.89009641821314E-05,-293712.039551162,-1.00795907910234E-05,1.93534689504498E-06,0.0422185658866039,0.0554641471650965,0.00034266869439968
4.69999999999994,4000159.08255384,3.9770638459169E-05,-293711.980312077,-1.02812797916352E-05,2.06457462378813E-06,0.0423151032760157,0.0578775819003921,0.00034307693539055
4.79999999999994,4000162.56761382,4.06419034539862E-05,-293711.921421306,-1.04817829023052E-05,2.19944384273873E-06,0.0424136423504988,0.0603410587624702,0.000343494955161778
4.89999999999994,4000166.05919039,4.15147975978414E-05,-293711.862888244,-1.06810681327341E-05,2.34007651950939E-06,0.0425141793455751,0.0628544836393765,0.000343922814364048
4.99999999999994,4000169.55743851,4.23893596281921E-05,-293711.804722425,-1.08791030284383E-05,2.48659473650531E-06,0.0426167105075461,0.0654177626886516,0.000344360575259551
5.09999999999994,4000173.0625144,4.32656285989097E-05,-293711.74693352,-1.10758546568723E-05,2.63912070503918E-06,0.0427212320980323,0.0680308024508076,0.000344808301744008
5.19999999999993,4000176.57457554,4.41436438860521E-05,-293711.689531348,-1.12712895938838E-05,2.79777676644986E-06,0.0428277403985171,0.0706935099629276,0.000345266059369456
5.29999999999993,4000180.09378079,4.50234451967457E-05,-293711.632525874,-1.14653739073933E-05,2.96268538975025E-06,0.0429362317148931,0.0734057928723273,0.000345733915367673
5.39999999999993,4000183.62029033,4.59050725816201E-05,-293711.575927217,-1.16580731466254E-05,3.13396918211463E-06,0.0430467023820082,0.0761675595502047,0.000346211938674349
5.49999999999993,4000187.15426576,4.67885664394707E-05,-293711.519745653,-1.18493523235674E-05,3.31175088657398E-06,0.0431591487682086,0.0789787192052143,0.000346700199953928
5.59999999999993,4000190.69587011,4.76739675285831E-05,-293711.463991622,-1.20391758987592E-05,3.49615338851281E-06,0.0432735672798763,0.0818391819969087,0.000347198771625183
5.69999999999992,4000194.2452679,4.85613169749488E-05,-293711.408675727,-1.22275077663048E-05,3.68729971362062E-06,0.0433899543659595,0.0847488591489862,0.0003477077278876
5.79999999999992,4000197.80262513,4.94506562829233E-05,-293711.353808746,-1.24143112367747E-05,3.88531303935183E-06,0.0435083065224919,0.0877076630622968,0.000348227144748501
5.89999999999992,4000201.36810938,5.03420273438859E-05,-293711.29940163,-1.25995490218855E-05,4.09031668783184E-06,0.0436286202971018,0.090715507427545,0.000348757100050903
5.99999999999992,4000204.94188978,5.12354724455655E-05,-293711.245465512,-1.27831832165137E-05,4.30243414024957E-06,0.0437508922935063,0.0937723073376571,0.000349297673502286
6.09999999999991,4000208.52413713,5.21310342829207E-05,-293711.192011712,-1.29651752839299E-05,4.52178903008232E-06,0.0438751191759903,0.0968779793997565,0.0003498489467041
6.19999999999991,4000212.11502387,5.30287559674658E-05,-293711.13905174,-1.31454860349267E-05,4.74850515268296E-06,0.0440012976738687,0.100032441846718,0.000350411003182173
6.29999999999991,4000215.71472416,5.39286810388173E-05,-293711.086597302,-1.33240756120534E-05,4.98270646568284E-06,0.0441294245859302,0.103235614648255,0.000350983928417949
6.39999999999991,4000219.3234139,5.48308534742414E-05,-293711.034660308,-1.35009034717415E-05,5.22451709384231E-06,0.0442594967848606,0.106487419621515,0.000351567809880646
6.49999999999991,4000222.94127079,5.57353176982023E-05,-293710.983252872,-1.36759283628773E-05,5.47406133152244E-06,0.044391511221646,0.109787780541151,0.00035216273706034
6.5999999999999,4000226.56847439,5.66421185963506E-05,-293710.932387323,-1.3849108310704E-05,5.73146364412935E-06,0.0445254649299536,0.113136623248839,0.000352768801501912
6.6999999999999,4000230.2052061,5.75513015241835E-05,-293710.88207621,-1.40204005951716E-05,5.99684867898196E-06,0.0446613550304892,0.11653387576223,0.000353386096840074
6.7999999999999,4000233.85164927,5.84629123179248E-05,-293710.832332304,-1.41897617306208E-05,6.2703412569782E-06,0.0447991787353322,0.119979468383305,0.000354014718835259
6.8999999999999,4000237.50798924,5.93769973091796E-05,-293710.783168609,-1.43571474457982E-05,6.55206638892677E-06,0.0449389333522452,0.123473333806129,0.000354654765410603
