"Tid (s)","Rörelsemängdsmoment (kg * m^2/s)","L/L0 – 1","Energi (J)","E/E0 – 1","Avstånd från analytisk lösning (m)","Hastighet (m/s)","V/V0 – 1","Delta hastighet (m/s)"
1,4003337.15000078,0.000834287500195652,-293648.342321885,-0.000226947061841787,1.22521310463652E-06,0.0401389657331591,0.00347414332897666,0.00333715000078172
2,4006683.44617425,0.00167086154356277,-293582.35298475,-0.000451618383081831,1.22524666875054E-05,0.0404876372772427,0.0121909319310669,0.00334138647440574
3,4010051.73668818,0.00251293417204579,-293517.700959071,-0.000671736612188223,4.50058483672607E-05,0.0410429289352264,0.0260732233806609,0.00335414302259784
4,4013455.22108358,0.00336380527089397,-293455.094804658,-0.000884889343223061,0.000111432427950695,0.0418008583480588,0.045021458701469,0.00337557500335474
5,4016907.68909095,0.00422692227273758,-293395.308694813,-0.00108844077855563,0.000223523232816119,0.0427568932985464,0.068922332463661,0.00340595885764854
6,4020423.78199338,0.00510594549834598,-293339.211789093,-0.0012794317245578,0.000393333356231282,0.0439063569116316,0.0976589227907896,0.00344570079892471
7,4024019.28778331,0.00600482194582797,-293287.802781369,-0.00145446196717725,0.000633001479627742,0.0452448528346952,0.13112132086738,0.00349535005522201
8,4027711.48375136,0.00692787093783931,-293242.251812008,-0.0016095475751603,0.000954769079478211,0.0467686806366352,0.169217015915881,0.00355561746082901
9,4031519.5436623,0.0078798859155762,-293203.952588791,-0.00173994344600992,0.00137099959843269,0.0484752239307708,0.211880598269271,0.00362740056512897
10,4035465.0317266,0.00886625793164919,-293174.588517401,-0.00183991815408568,0.00189419789398944,0.0503633064700124,0.259082661750309,0.00371181691498285
11,4039572.51279147,0.00989312819786781,-293156.218029718,-0.00190246343668155,0.00253703034492359,0.0524335226006918,0.310838065017294,0.00381024783239067
12,4043870.3185087,0.0109675796271755,-293151.386317508,-0.00191891377871145,0.00331234611200117,0.0546885572201783,0.367213930504457,0.00392439593787844
13,4048391.524154,0.0120978810385004,-293163.27364102,-0.00187844147219118,0.00423320024136803,0.0571335170716188,0.428337926790471,0.00405636099305304
